Customer ID,Age,Age_Bucket,Gender,Item Purchased,Category,Purchase Amount (USD),Bucketed Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,55 - 70,Male,Blouse,Clothing,53, Medium-Low Spend ? 40–59 ,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,18 - 25,Male,Sweater,Clothing,64,Medium-High Spend ? 60–79 ,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,44 - 54,Male,Jeans,Clothing,73,Medium-High Spend ? 60–79 ,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,18 - 25,Male,Sandals,Footwear,90,High Spend ? 80–100,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,44 - 54,Male,Blouse,Clothing,49, Medium-Low Spend ? 40–59 ,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,44 - 54,Male,Sneakers,Footwear,20,Low Spend ? 20–39,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,63,55 - 70,Male,Shirt,Clothing,85,High Spend ? 80–100,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,25 - 34,Male,Shorts,Clothing,34,Low Spend ? 20–39,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,25 - 34,Male,Coat,Outerwear,97,High Spend ? 80–100,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,57,55 - 70,Male,Handbag,Accessories,31,Low Spend ? 20–39,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,44 - 54,Male,Shoes,Footwear,34,Low Spend ? 20–39,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Fortnightly
12,30,25 - 34,Male,Shorts,Clothing,68,Medium-High Spend ? 60–79 ,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,55 - 70,Male,Coat,Outerwear,72,Medium-High Spend ? 60–79 ,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,55 - 70,Male,Dress,Clothing,51, Medium-Low Spend ? 40–59 ,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,64,55 - 70,Male,Coat,Outerwear,53, Medium-Low Spend ? 40–59 ,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,55 - 70,Male,Skirt,Clothing,81,High Spend ? 80–100,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,18 - 25,Male,Sunglasses,Accessories,36,Low Spend ? 20–39,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Fortnightly
18,53,44 - 54,Male,Dress,Clothing,38,Low Spend ? 20–39,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,44 - 54,Male,Sweater,Clothing,48, Medium-Low Spend ? 40–59 ,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,55 - 70,Male,Pants,Clothing,90,High Spend ? 80–100,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Fortnightly
21,21,18 - 25,Male,Pants,Clothing,51, Medium-Low Spend ? 40–59 ,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Quarterly
22,31,25 - 34,Male,Pants,Clothing,62,Medium-High Spend ? 60–79 ,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,55 - 70,Male,Pants,Clothing,37,Low Spend ? 20–39,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,25 - 34,Male,Pants,Clothing,88,High Spend ? 80–100,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
